[my_website] Crawled: 12 URLs in 0.76 seconds
[my_website] queue size: 0
         810738 function calls (790128 primitive calls) in 3.783 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.770    0.020    0.774    0.020 tasks.py:215(__step)
       53    0.551    0.010    0.551    0.010 {method 'poll' of 'select.epoll' objects}
      449    0.542    0.001    0.542    0.001 {built-in function compile}
       14    0.307    0.022    0.311    0.022 _hub_primitives.py:46(wait)
        1    0.174    0.174    0.174    0.174 {built-in function gc.get_referrers}
        7    0.102    0.015    0.273    0.039 md.py:562(mess_ratio)
      490    0.067    0.000    0.067    0.000 {built-in function marshal.loads}
    44291    0.058    0.000    0.068    0.000 functools.py:460(_make_key)
     3138    0.037    0.000    0.037    0.000 {built-in function posix.stat}
      151    0.035    0.000    0.035    0.000 {built-in function marshal.dumps}
     2992    0.032    0.000    0.078    0.000 md.py:209(feed)
  733/166    0.032    0.000    0.073    0.000 sre_parse.py:494(_parse)
    788/1    0.021    0.000    1.336    1.336 {built-in function exec}
     1025    0.019    0.000    0.065    0.000 frozen importlib._bootstrap_external:1550(find_spec)
      806    0.018    0.000    0.025    0.000 functools.py:39(update_wrapper)
1940/1904    0.018    0.000    0.144    0.000 {built-in function __build_class__}
     1680    0.014    0.000    0.034    0.000 __init__.py:389(<genexpr>)
       11    0.013    0.001    0.021    0.002 {built-in function _imp.exec_dynamic}
     6002    0.013    0.000    0.019    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      591    0.013    0.000    0.021    0.000 parse.py:444(urlsplit)
    15303    0.013    0.000    0.013    0.000 {built-in function getattr}
55763/55715    0.013    0.000    0.019    0.000 {built-in function isinstance}
 1312/152    0.012    0.000    0.031    0.000 sre_compile.py:87(_compile)
      499    0.012    0.000    0.015    0.000 {built-in function _io.open}
       12    0.011    0.001    0.011    0.001 __init__.py:756(document_fromstring)
     6002    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap>:100(acquire)
    11435    0.011    0.000    0.011    0.000 sre_parse.py:234(__next)
      792    0.011    0.000    0.011    0.000 {built-in function _io.open_code}
      714    0.011    0.000    0.097    0.000 <frozen importlib._bootstrap>:921(_find_spec)
